created,text,retwc,hashtag,followers,friends
2021-06-11 04:33:19,"b'RT @SlurrieFamily: After Sydney Olympics, over 100 athletes overstayed their visas, and 30 applied for asylum. The LNP Government didn\xe2\x80\x99t lo\xe2\x80\xa6'",407,None,277,460

2021-06-11 04:33:06,b'Olympian\xf0\x9f\x99\x84that\xe2\x80\x99s the argument. She\xe2\x80\x99s only competed in the 2016 Olympics I believe. Phelps still reigns as the greate\xe2\x80\xa6 https://t.co/MCnG9tuhPY',0,None,1408,727

2021-06-11 04:33:03,"b'RT @TheEconomist: On \xe2\x80\x9cThe Jab\xe2\x80\x9d podcast, The Economist\xe2\x80\x99s @Miki__Kobayashi tells @alokjha why Japan\xe2\x80\x99s vaccination drive has been slow, ahead\xe2\x80\xa6'",3,None,236,0

2021-06-11 04:33:01,"b""RT @American_Jen: I heard Japan has banned ALL BLM apparel from the Olympics. NO ONE can kneel/ raise fists during the anthems. I'm proud o\xe2\x80\xa6""",1351,None,555,953

2021-06-11 04:32:54,b'RT @mariokartdwi: @LA28 girl no one cares about the olympics',1,None,9374,1014

2021-06-11 04:32:51,"b'RT @JulesBoykoff: ""There is an increasing discrepancy between how people in Japan have been treated during this pandemic &amp; how #Tokyo2020 O\xe2\x80\xa6'",53,Tokyo2020,32,141

2021-06-11 04:32:46,"b'RT @WorldAthletics: At the 1992 Barcelona #Olympics, two women lined up for the 10,000m not knowing that their spontaneous post-race displa\xe2\x80\xa6'",35,Olympics,18744,8342

2021-06-11 04:32:39,"b'""Let this be a lesson to all misogynistic perverts in sport and their boot lickers\xe2\x80\x9d.\n\nAustralian swimmer\xe2\x80\xa6 https://t.co/zPSB3ez4vT'",0,None,38,28

2021-06-11 04:32:38,"b""RT @thetimes: Yoshihide Suga\n\nThe Japanese prime minister's\xc2\xa0main priority will be to secure explicit support from G7 leaders for holding th\xe2\x80\xa6""",117,None,363,1728

2021-06-11 04:32:26,"b'RT @IwriteOK: you know how at the end of Watchmen Ozymandias unites the world against a fake alien menace?\n\nwhat if we do that for real, by\xe2\x80\xa6'",68,None,67,183

2021-06-11 04:32:22,"b'RT @SlurrieFamily: After Sydney Olympics, over 100 athletes overstayed their visas, and 30 applied for asylum. The LNP Government didn\xe2\x80\x99t lo\xe2\x80\xa6'",407,None,315,1277

2021-06-11 04:32:15,b'@cinta_shanti @selinawangtv Professor Nishiuras simulations predict\n- the delta strain will become the majority str\xe2\x80\xa6 https://t.co/AId55fWiiT',0,None,44,261

2021-06-11 04:32:05,"b'RT @liliapocalypse: Atsumu squeezes back.\n\n\xe2\x80\x9cTogether until the Olympics,\xe2\x80\x9d he whispers back, soft but resolute. \n\n\xe2\x80\x9cAnd beyond!\xe2\x80\x9d Hinata screa\xe2\x80\xa6'",1,None,321,267

2021-06-11 04:32:02,"b'On \xe2\x80\x9cThe Jab\xe2\x80\x9d podcast, The Economist\xe2\x80\x99s @Miki__Kobayashi tells @alokjha why Japan\xe2\x80\x99s vaccination drive has been slow,\xe2\x80\xa6 https://t.co/FmITJcc8rq'",3,None,25603980,133

2021-06-11 04:31:56,b'@WRBolen People dont care about gymnastics unless it\xe2\x80\x99s the olympics',0,None,130,997

